Gender,Married,Dependents,Graduated,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanDurationMonths,Credit_Score,Loan_Status,TotalIncome,LoanIncomeRatio,Area_Type_Rural,Area_Type_Semiurban,Area_Type_Urban
1,0,0,0,0,0.6980291345329905,-0.5173577103058005,0.0,0.2732312961117544,1,1,0.12888326007598896,0.0,0,0,1
1,1,1,0,0,0.2640959725792631,0.13907933398628794,0.0,0.2732312961117544,1,0,0.20099828652313192,0.0,1,0,0
1,1,0,0,1,-0.27849185946872324,-0.5173577103058005,-0.9612403100775194,0.2732312961117544,1,1,-0.7201072785517395,0.0,0,0,1
1,1,0,1,0,-0.4214224507283633,0.5090869517901839,-0.12403100775193798,0.2732312961117544,1,1,-0.1416970870893243,0.0,0,0,1
1,0,0,0,0,0.7497857754927164,-0.5173577103058005,0.20155038759689922,0.2732312961117544,1,1,0.17388065261118976,0.0,0,0,1
1,1,2,0,1,0.5499571550985433,1.3091740124061377,2.0697674418604652,0.2732312961117544,1,1,1.250540117708411,0.0,0,0,1
1,1,0,1,0,-0.5071122536418167,0.14256175862444226,-0.5116279069767442,0.2732312961117544,1,1,-0.46710869403263056,0.0,0,0,1
1,1,3,0,0,-0.26615252784918597,0.5726412014365002,0.46511627906976744,0.2732312961117544,0,0,0.03680250316620726,0.0,0,1,0
1,1,2,0,0,0.06632390745501285,0.14691478942213515,0.6201550387596899,0.2732312961117544,1,1,0.03441853534977278,0.0,0,0,1
1,1,1,0,0,2.1795201371036845,1.9826422896941995,2.0697674418604652,0.2732312961117544,1,0,2.1273560306935857,0.0,0,1,0
1,1,2,0,0,-0.2099400171379606,-0.21264555446729785,-0.8992248062015504,0.2732312961117544,1,1,-0.45191089920286076,0.0,0,0,1
1,1,2,0,0,-0.4498714652956298,0.28359995646969205,-0.29457364341085274,0.2732312961117544,1,1,-0.32079266929896444,0.0,0,0,1
1,1,2,0,0,-0.2534704370179949,1.9826422896941995,1.1162790697674418,0.2732312961117544,1,1,1.71720181777546,0.0,0,0,1
1,0,0,0,0,-0.671636675235647,0.7189030362389814,-0.21705426356589147,0.2732312961117544,1,0,-0.2156000893987931,0.0,1,0,0
1,1,2,0,0,-0.8615252784918594,-0.04461856567635216,-1.7209302325581395,-3.4548579441686273,1,1,-0.9033748044401401,0.0,0,0,1
1,0,0,0,0,0.3898886032562125,-0.5173577103058005,-0.046511627906976744,0.2732312961117544,1,1,-0.1390151232958355,0.0,0,0,1
1,0,1,1,0,-0.07420736932305055,-0.5173577103058005,-0.43410852713178294,-1.5908133240284363,1,1,-0.5425016762273709,0.0,0,0,1
0,0,0,0,0,-0.1036846615252785,-0.5173577103058005,-0.8062015503875969,0.2732312961117544,0,0,-0.5681293302540416,0.0,0,0,1
1,1,0,1,0,0.3682947729220223,-0.5173577103058005,0.07751937984496124,0.2732312961117544,1,0,-0.15778886985025703,0.0,1,0,0
1,1,0,0,0,-0.4155955441302485,1.0062030688867123,-0.20155038759689922,0.2732312961117544,1,1,0.20368025031662074,0.0,0,0,1
1,1,0,1,0,1.3187660668380463,-0.5173577103058005,-0.37209302325581395,0.2732312961117544,0,0,0.6685539745213439,0.0,0,0,1
1,1,1,0,0,0.7343616109682948,1.9312221133964522,2.0697674418604652,0.2732312961117544,1,1,1.8366982045742382,0.0,0,0,1
1,1,0,1,0,-0.4155955441302485,0.3145064751333116,-0.18604651162790697,0.2732312961117544,0,0,-0.2698353572226775,0.0,0,1,0
1,1,2,1,0,-0.1533847472150814,0.3171182936119273,-0.24806201550387597,0.2732312961117544,0,0,-0.04008045891380466,0.0,1,0,0
1,1,1,0,0,-0.03273350471293916,0.755903798019371,0.35658914728682173,0.2732312961117544,1,0,0.3651940698800566,0.0,0,1,0
1,1,0,0,1,1.9700085689802913,-0.5173577103058005,0.9767441860465116,0.2732312961117544,1,1,1.2347463309245326,0.0,0,1,0
1,1,0,0,0,-0.3473864610111397,0.4633801284144085,-0.09302325581395349,0.2732312961117544,1,1,-0.10861953363629591,0.0,0,1,0
1,1,2,1,0,0.14173093401885176,-0.06464250734573947,-0.27906976744186046,0.2732312961117544,1,1,-0.04484839454667362,0.0,0,0,1
1,0,0,1,0,-0.8125107112253642,-0.5173577103058005,-1.441860465116279,0.2732312961117544,1,0,-1.1843850108023541,0.0,0,0,1
0,0,2,0,0,-0.021422450728363324,0.38937860485362935,-0.12403100775193798,0.2732312961117544,1,1,0.12411532444312001,0.0,0,1,0
1,1,1,0,0,0.12116538131962297,0.9491783654369355,1.1317829457364341,0.2732312961117544,1,0,0.6313044773895552,0.0,0,0,1
1,0,0,0,0,-0.22125107112253642,-0.5173577103058005,-0.8372093023255814,0.2732312961117544,1,0,-0.6703419503836698,0.0,0,0,1
